公表日時,時間,結果
2005-08-01,18:00,323900
2005-07-01,18:00,324860
2005-06-01,18:00,328000
2005-05-01,18:00,320950
2005-04-01,18:00,332480
2005-03-01,18:00,313050
2005-02-01,18:00,338670
2005-01-01,18:00,330390
2004-12-01,18:00,330050
2004-11-01,18:00,333810
2004-10-01,18:00,337860
2004-09-01,18:00,339410
2004-08-01,18:00,345320
2004-07-01,18:00,345590
2004-06-01,18:00,340000
2004-05-01,18:00,344550
2004-04-01,18:00,341090
2004-03-01,18:00,360750
2004-02-01,18:00,360770
2004-01-01,18:00,357960
2003-12-01,18:00,363000
2003-11-01,18:00,377520
2003-10-01,18:00,394640
2003-09-01,18:00,400050
2003-08-01,18:00,408740
2003-07-01,18:00,422290
2003-06-01,18:00,423450
2003-05-01,18:00,436000
2003-04-01,18:00,424860
2003-03-01,18:00,416750
2003-02-01,18:00,399090
2003-01-01,18:00,412320
2002-12-01,18:00,389760
2002-11-01,18:00,407220
2002-10-01,18:00,409240
2002-09-01,18:00,394360
2002-08-01,18:00,386260
2002-07-01,18:00,389500
2002-06-01,18:00,402260
2002-05-01,18:00,427410
2002-04-01,18:00,419860
2002-03-01,18:00,396600
2002-02-01,18:00,408220
2002-01-01,18:00,404380
2001-12-01,18:00,452500
2001-11-01,18:00,475430
2001-10-01,18:00,443250
2001-09-01,18:00,398610
2001-08-01,18:00,398270
2001-07-01,18:00,395520
2001-06-01,18:00,397090
2001-05-01,18:00,396000
2001-04-01,18:00,387640
2001-03-01,18:00,372450
2001-02-01,18:00,344700
2001-01-01,18:00,347520
2000-12-01,18:00,335230
2000-11-01,18:00,303730
2000-10-01,18:00,300050
2000-09-01,18:00,311000
2000-08-01,18:00,298860
2000-07-01,18:00,288860
2000-06-01,18:00,283260
2000-05-01,18:00,273000
2000-04-01,18:00,271870
2000-03-01,18:00,292140
2000-02-01,18:00,290100
2000-01-01,18:00,279390
1999-12-01,18:00,282230
1999-11-01,18:00,286860
1999-10-01,18:00,293000
1999-09-01,18:00,290680
1999-08-01,18:00,299500
1999-07-01,18:00,292640
1999-06-01,18:00,303000
1999-05-01,18:00,305450
1999-04-01,18:00,303700
1999-03-01,18:00,301500
1999-02-01,18:00,325290
1999-01-01,18:00,318170
1998-12-01,18:00,316480
1998-11-01,18:00,311770
1998-10-01,18:00,303320
1998-09-01,18:00,309190
1998-08-01,18:00,329170
1998-07-01,18:00,340180
1998-06-01,18:00,312570
1998-05-01,18:00,309640
1998-04-01,18:00,314730
1998-03-01,18:00,319000
1998-02-01,18:00,322450
1998-01-01,18:00,313090
1997-12-01,18:00,315000
1997-11-01,18:00,310570
1997-10-01,18:00,314860
1997-09-01,18:00,332140
1997-08-01,18:00,319090
1997-07-01,18:00,326480
1997-06-01,18:00,321320
1997-05-01,18:00,329140
1997-04-01,18:00,319290
1997-03-01,18:00,317750
1997-02-01,18:00,337000
1997-01-01,18:00,352910
1996-12-01,18:00,336860
1996-11-01,18:00,338300
1996-10-01,18:00,342380
1996-09-01,18:00,332590
1996-08-01,18:00,335570
1996-07-01,18:00,342750
1996-06-01,18:00,344090
1996-05-01,18:00,357320
1996-04-01,18:00,389900
1996-03-01,18:00,375950
1996-02-01,18:00,374000
1996-01-01,18:00,363480
1995-12-01,18:00,376000
1995-11-01,18:00,372270
1995-10-01,18:00,363330
1995-09-01,18:00,356260
1995-08-01,18:00,374330
1995-07-01,18:00,364270
1995-06-01,18:00,369170
1995-05-01,18:00,354000
1995-04-01,18:00,339220
1995-03-01,18:00,339250
1995-02-01,18:00,332640
1995-01-01,18:00,323090
1994-12-01,18:00,327450
1994-11-01,18:00,333950
1994-10-01,18:00,329000
1994-09-01,18:00,336610
1994-08-01,18:00,343760
1994-07-01,18:00,338450
1994-06-01,18:00,357730
1994-05-01,18:00,344380
1994-04-01,18:00,336300
1994-03-01,18:00,347850
1994-02-01,18:00,363620
1994-01-01,18:00,325700
1993-12-01,18:00,340640
1993-11-01,18:00,353000
1993-10-01,18:00,338360
1993-09-01,18:00,340360
