date	edinet_code	docTypeCode	docID
2024-06-20	E03554	120	S100TO5C
2024-06-20	E00872	120	S100TO4E
2024-06-20	E03380	120	S100TO81
2024-06-20	E30047	120	S100TOJD
2024-06-20	E00872	030	S100TOVD
2024-06-20	E27294	120	S100TO96
2024-06-19	E37785	120	S100TNEG
2024-06-19	E02509	120	S100TK3T
2024-06-19	E02230	120	S100TNEU
2024-06-19	E04990	120	S100TNDT
2024-06-19	E02727	120	S100TN6I
2024-06-19	E04208	120	S100TN1U
2024-06-19	E32022	120	S100TNGG
2024-06-19	E00967	120	S100TMPA
2024-06-19	E00312	120	S100TN18
2024-06-19	E03447	120	S100TNCN
2024-06-19	E01806	120	S100TN9M
2024-06-19	E00138	120	S100TNRH
2024-06-19	E04235	120	S100TNM1
2024-06-19	E05350	120	S100TM8G
2024-06-19	E01696	120	S100TN6N
2024-06-19	E01480	120	S100TNJH
2024-06-19	E01236	120	S100TN5P
2024-06-19	E04806	120	S100TNCY
2024-06-19	E02503	120	S100TNF4
2024-06-19	E00868	120	S100TMQQ
2024-06-19	E05485	120	S100TNTY
2024-06-19	E02513	120	S100TND7
2024-06-19	E03615	120	S100TNUK
2024-06-19	E31054	120	S100TMZW
2024-06-19	E02729	120	S100TNI0
2024-06-19	E01757	120	S100TN9Q
2024-06-19	E00995	120	S100TNKE
2024-06-19	E02643	120	S100TNEQ
2024-06-19	E31012	120	S100TNWB
2024-06-19	E02535	120	S100TNOB
2024-06-19	E01667	120	S100TNTZ
2024-06-19	E02166	120	S100TNE0
2024-06-19	E23187	120	S100TNLE
2024-06-19	E00989	120	S100TMYQ
2024-06-19	E01730	120	S100TNIH
2024-06-19	E02357	120	S100TNDE
2024-06-19	E01231	120	S100TN6Q
2024-06-19	E33553	030	S100TNWF
2024-06-19	E04272	120	S100TNGJ
2024-06-19	E31851	030	S100TNOJ
2024-06-19	E04105	120	S100TMV2
2024-06-19	E21261	120	S100TNS5
2024-06-19	E02881	120	S100TNIA
2024-06-19	E21187	120	S100TNDP
2024-06-19	E04899	120	S100TMLR
2024-06-19	E03071	120	S100TME8
2024-06-19	E03568	120	S100TNH2
2024-06-19	E04855	120	S100TNKA
2024-06-19	E05175	120	S100TNJC
2024-06-19	E04148	030	S100TO00
2024-06-19	E37146	120	S100TNGQ
2024-06-19	E05535	120	S100TNYS
2024-06-19	E01975	120	S100TNGX
2024-06-19	E01828	120	S100TNM4
2024-06-19	E00149	120	S100TNK2
2024-06-19	E01514	120	S100TO0C
2024-06-19	E04911	120	S100TMH6
2024-06-19	E03041	120	S100TNTL
2024-06-19	E00829	120	S100TNHQ
2024-06-18	E01074	120	S100TN0Z
2024-06-18	E01532	120	S100TLVE
2024-06-18	E36700	120	S100TN26
2024-06-18	E04904	120	S100TMUS
2024-06-18	E09753	120	S100TMZV
2024-06-18	E03623	120	S100TMDS
2024-06-18	E33603	120	S100TNA4
2024-06-18	E03266	120	S100TMXO
2024-06-18	E02409	120	S100TMWM
2024-06-18	E01019	120	S100TN44
2024-06-18	E01123	120	S100TMSF
2024-06-18	E04867	120	S100TN3C
2024-06-18	E04889	120	S100TN4O
2024-06-18	E01413	120	S100TNC9
2024-06-18	E04220	120	S100TN37
2024-06-18	E02958	120	S100TMUB
2024-06-18	E26990	120	S100TK6J
2024-06-18	E02652	120	S100TM39
2024-06-18	E33435	120	S100TNEF
2024-06-18	E34537	120	S100TMSZ
2024-06-18	E23818	120	S100TMAD
2024-06-18	E01878	120	S100TN0N
2024-06-18	E03160	120	S100TNEL
2024-06-18	E02686	120	S100TMOP
2024-06-18	E00385	120	S100TMYO
2024-06-18	E26327	120	S100TNBX
2024-06-17	E02002	120	S100TMG7
2024-06-17	E04217	120	S100TMO7
2024-06-17	E37777	120	S100TLFZ
2024-06-17	E04218	120	S100TMOR
2024-06-17	E04103	120	S100TMC4
2024-06-17	E05065	120	S100TMF4
2024-06-17	E02178	120	S100TMPX
2024-06-17	E00913	120	S100TMEU
2024-06-17	E36928	120	S100TMSD
2024-06-17	E01951	120	S100TML5
2024-06-17	E01657	120	S100TMQY
2024-06-17	E05037	120	S100TMKR
2024-06-17	E01967	120	S100TM1W
2024-06-17	E35325	030	S100TMOL
2024-06-17	E05000	120	S100TM4A
2024-06-17	E00984	120	S100TLVV
2024-06-17	E04228	120	S100TMA8
2024-06-17	E01108	120	S100TMN5
2024-06-17	E35516	120	S100TMXI
2024-06-17	E03807	120	S100TMKM
2024-06-17	E31612	120	S100TMNK
2024-06-17	E05221	120	S100TMCR
2024-06-17	E00984	030	S100TN0F
2024-06-14	E04187	120	S100TM6Q
2024-06-14	E00730	120	S100TLFA
2024-06-14	E04857	120	S100TM5Y
2024-06-14	E04348	120	S100TLHX
2024-06-14	E30058	030	S100TMGD
2024-06-14	E05725	120	S100TLK2
2024-06-14	E05267	120	S100TLV5
2024-06-14	E00939	120	S100TM93
2024-06-14	E04109	120	S100TM9D
2024-06-14	E36700	030	S100TMHJ
