公表日時,時間,結果,予想,前回,
2000年11月01日 (10月),18:00,105.80, ,108.80,
2000年10月01日 (9月),18:00,106.80, ,107.80,
2000年09月01日 (8月),18:00,107.30, ,108.00,
2000年08月01日 (7月),18:00,108.30, ,106.80,
2000年07月01日 (6月),18:00,106.40, ,110.90,
2000年06月01日 (5月),18:00,110.70, ,110.20,
2000年05月01日 (4月),18:00,109.20, ,107.70,
2000年04月01日 (3月),18:00,107.10, ,111.20,
2000年03月01日 (2月),18:00,111.30, ,111.40,
2000年02月01日 (1月),18:00,111.40, ,104.20,
2000年01月01日 (12月),18:00,105.40, ,107.70,
1999年12月01日 (11月),18:00,107.20, ,105.30,
1999年11月01日 (10月),18:00,103.20, ,107.10,
1999年10月01日 (9月),18:00,107.20, ,104.60,
1999年09月01日 (8月),18:00,104.50, ,106.20,
1999年08月01日 (7月),18:00,106.00, ,109.00,
1999年07月01日 (6月),18:00,107.30, ,106.40,
1999年06月01日 (5月),18:00,106.80, ,104.80,
1999年05月01日 (4月),18:00,104.60, ,104.70,
1999年04月01日 (3月),18:00,105.70, ,107.40,
1999年03月01日 (2月),18:00,108.10, ,101.00,
1999年02月01日 (1月),18:00,103.90, ,100.70,
1999年01月01日 (12月),18:00,100.50, ,102.40,
1998年12月01日 (11月),18:00,102.70, ,98.90,
1998年11月01日 (10月),18:00,97.40, ,100.40,
1998年10月01日 (9月),18:00,100.90, ,104.50,
1998年09月01日 (8月),18:00,104.40, ,104.80,
1998年08月01日 (7月),18:00,105.20, ,106.60,
1998年07月01日 (6月),18:00,105.60, ,105.20,
1998年06月01日 (5月),18:00,106.50, ,108.00,
1998年05月01日 (4月),18:00,108.70, ,106.80,
1998年04月01日 (3月),18:00,106.50, ,110.10,
1998年03月01日 (2月),18:00,110.40, ,104.00,
1998年02月01日 (1月),18:00,106.60, ,103.00,
