公表日時,時間,結果,予想,前回,
1987年02月01日 (1月),21:30,6.6%, ,6.6%,
1987年01月01日 (12月),21:30,6.6%, ,6.9%,
1986年12月01日 (11月),21:30,6.9%, ,7%,
1986年11月01日 (10月),21:30,7%, ,7%,
1986年10月01日 (9月),21:30,7%, ,6.9%,
1986年09月01日 (8月),21:30,6.9%, ,7%,
1986年08月01日 (7月),21:30,7%, ,7.2%,
1986年07月01日 (6月),21:30,7.2%, ,7.2%,
1986年06月01日 (5月),21:30,7.2%, ,7.1%,
1986年05月01日 (4月),21:30,7.1%, ,7.2%,
1986年04月01日 (3月),21:30,7.2%, ,7.2%,
1986年03月01日 (2月),21:30,7.2%, ,6.7%,
1986年02月01日 (1月),21:30,6.7%, ,7%,
1986年01月01日 (12月),21:30,7%, ,7%,
1985年12月01日 (11月),21:30,7%, ,7.1%,
1985年11月01日 (10月),21:30,7.1%, ,7.1%,
1985年10月01日 (9月),21:30,7.1%, ,7.1%,
1985年09月01日 (8月),21:30,7.1%, ,7.4%,
1985年08月01日 (7月),21:30,7.4%, ,7.4%,
1985年07月01日 (6月),21:30,7.4%, ,7.2%,
1985年06月01日 (5月),21:30,7.2%, ,7.3%,
1985年05月01日 (4月),21:30,7.3%, ,7.2%,
1985年04月01日 (3月),21:30,7.2%, ,7.2%,
1985年03月01日 (2月),21:30,7.2%, ,7.3%,
1985年02月01日 (1月),21:30,7.3%, ,7.3%,
1985年01月01日 (12月),21:30,7.3%, ,7.2%,
1984年12月01日 (11月),21:30,7.2%, ,7.4%,
1984年11月01日 (10月),21:30,7.4%, ,7.3%,
1984年10月01日 (9月),21:30,7.3%, ,7.5%,
1984年09月01日 (8月),21:30,7.5%, ,7.5%,
1984年08月01日 (7月),21:30,7.5%, ,7.2%,
1984年07月01日 (6月),21:30,7.2%, ,7.4%,
1984年06月01日 (5月),21:30,7.4%, ,7.7%,
